ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
2483418.0,comment,2483341.0,2483393.0,23.0,0,AdamTReineke,,,"Digital delivery: Amazon Video-On-Demand, Hulu, iTunes, etc.<p>Physical rental: Redbox, Blockbuster, etc.<p>Netflix does their job very, VERY well, making it hard for any new players to enter the market.",1303775966.0
2483417.0,comment,2480213.0,2481097.0,1.0,0,d0m,,,"Yeah, I really like how simple it is but I think being able to write the css is important. Still, if the generated HTML is standard, it could be something really simple.. i.e. automatically include the style.css.",1303775952.0
2483416.0,comment,2481287.0,2483170.0,1.0,0,jmonegro,,,"Indeed, markdown, textile, and many other languages would make a nice addition. I'll be adding support for more and more languages as I see the project growing.<p>I'll be posting dev updates at codr.posterous.com",1303775877.0
2483415.0,comment,2483093.0,2483093.0,-0.38393168259026966,0,hornokplease,,,"Joi has posted to his blog about the announcement:<p><a href=""http://joi.ito.com/weblog/2011/04/25/joining-the-mit.html"" rel=""nofollow"">http://joi.ito.com/weblog/2011/04/25/joining-the-mit.html</a><p>Discussion:<p><a href=""http://news.ycombinator.com/item?id=2483392"" rel=""nofollow"">http://news.ycombinator.com/item?id=2483392</a>",1303775871.0
2483414.0,comment,2483341.0,2483393.0,-1.0,0,jpwagner,,,what did you have in mind?,1303775869.0
2483413.0,comment,2482482.0,2482482.0,1.0,0,mindhunter,,,It's an app contest but you can't submit a real app? Only games or visuals..,1303775860.0
2483412.0,comment,2481227.0,2481792.0,1.0,0,checoivan,,,"Well, nothing prevents nintendo from using wii controllers and games on the new console, and possibly scaling them up to make them look better. Just lookup Wii HD on youtube to see the games running on 1080p on an emulator.<p>Also sounds like now you will be able to buy DS and Gameboy games from the marketplace as well.",36120522.5345676
2483410.0,comment,2481125.0,2481560.0,1.0,0,mahyarm,,,"If you look closely, apple resizes the view instantly to the horizontal dimensions and then gives a rotation animation, so they can instantly rotate if they wanted to.",1303775836.0
2483409.0,comment,2482712.0,2483041.0,2.0,0,spudlyo,,,Shhh.  You're spoiling everyone's fun.  How can you expect me to get all worked up about a notice about a non-existent notice?,1303775828.0
2483408.0,comment,2482118.0,2482251.0,2.0,0,rprasad,,,"It is not a legal bar, it's simply considered safe corporate \nHR practice to automatically delete any resumes with picture attachments <i>before they are viewed</i> so that the pictures cannot possibly form the justiifcation for an employment discrimination lawsuit (i.e., choosing not to hire based on race/age/gender).<p>IOW, you can include a photograph on your resume, but the likely result of sending that resume to a large corporation is that it will be deleted immediately.",1303775814.0
2483407.0,comment,2482939.0,2482939.0,1.0,0,tomn,,,"I believe this is commonly called the 'Reactor pattern':<p><a href=""http://en.wikipedia.org/wiki/Reactor_pattern"" rel=""nofollow"">http://en.wikipedia.org/wiki/Reactor_pattern</a>",1303775800.0
2483406.0,comment,2483341.0,2483365.0,14.0,0,AdamTReineke,,,"115.9m households have TVs[1], so 23.6m accounts is just over 20% of households with TVs subscribing. That seems more reasonable. The 7% figure assumes 1 account per person.<p>[1] - <a href=""http://blog.nielsen.com/nielsenwire/media_entertainment/number-of-u-s-tv-households-climbs-by-one-million-for-2010-11-tv-season/"" rel=""nofollow"">http://blog.nielsen.com/nielsenwire/media_entertainment/numb...</a>",1303775795.0
2483405.0,comment,2481254.0,2482503.0,1.0,0,tzs,,,"So basically under your proposed rule, someone could download as much child porn as he wanted in complete safety as long as he made sure to keep his wifi unprotected? Your rule needs some refinement! :-)",1303775790.0
2483404.0,comment,2483386.0,2483386.0,1.0,0,zitterbewegung,,,"The most interesting point of this article is the fact they designed their services to degrade instead of fail. Also, due to the fact that they have engineered their servers to use multiple zones that also allowed them to avoid failure. Are these strategies too expensive for other sites to engineer or could they have been designed in?",1303775763.0
2483403.0,comment,2478845.0,2482533.0,1.0,0,jemfinch,,,My experience indicates otherwise.,1303775724.0
2483402.0,comment,2483093.0,2483255.0,6.0,0,roedog,,,I imagine those friends in tech will help him bring in new sponsors.  Isn't that a big part of the job?,1303775719.0
2483401.0,story,,,2.0,1,DanielRibeiro,Twilio's Cloud Architecture Principles,http://www.infoq.com/news/2011/04/twilio-cloud-architecture,,1303775697.0
2483400.0,comment,2476718.0,2476718.0,1.0,0,beej71,,,"If you consider everything that goes into rasterizing a line of text, it's not entirely surprising that a bitmap draw is considerably faster. (""Cache to bitmap"".)<p>This is definitely a good place to optimize, though, if one needs to.<p>What's super funky is the difference between Chrome and The Rest.  I'd not have expected that.<p>It's probably Google tracking your font rendering choices. ;-) ;-)<p>Edit: ""performance murder"" and the opening graphic are pretty hilarious.",1303775657.0
2483399.0,comment,2483101.0,2483101.0,1.0,0,turoczy,,,Just noticed that the MIT release containing this same information is on the front page and trending. I'd encourage you to vote for that one instead of this one. ;),1303775643.0
2483398.0,comment,2481254.0,2481302.0,1.0,0,tzs,,,"They find that a crime is being committed using a router belonging to person X. You say they are being irrational by getting a warrant and searching X and his computers to see if he was the one committing the crime?<p>Where then would you suggest they start?<p>If someone robbed a bank, and was seen driving away in a specific car, do you think it would be irrational for them to look up the owner of the car and go search it and him? It's essentially the same thing.",1303775642.0
